Sample,True_Comp,1,2,3,4,5
GUWBM,49.51,47.570843966190736,52.538352872244076,55.528165511317191,54.116511786442857,51.170387207887686
GUWGNA,71.47,63.462503190830176,66.1508303015884,72.057241361452327,77.9671646500897,74.653482590060662
GUWGNA,71.47,63.204565371979143,64.544500162467813,68.211276227347597,73.502983235411378,70.212206773551273
GUWGNA,71.47,63.121312868473247,64.751324188628274,68.848328243651196,74.199435139490504,70.766932363384939
GUWGNA,71.47,63.763754977541673,65.973115300229054,71.802254217021783,76.387291162721795,72.713390136302479
GYPB,1.05,22.770838548900336,10.656165323567201,11.594776700588561,1.7446913447290413,0.43440197114401968
GYPB,1.05,22.352042821891487,10.457697496563107,10.750961759650913,1.4264804232357449,0.13386745778434772
GYPB,1.05,23.311825610229405,10.85541059410189,12.50813474812162,3.1695409888907378,2.1346190415577126
GYPB,1.05,21.343004783018131,8.7255215631253904,10.643741904944157,-0.030405978125287447,-1.2034243594288725
GYPB,1.05,23.946416721224658,10.919270416297124,12.691431183955487,3.5211827707696912,2.5452824290278997
GYPC,3.5,25.243035418061776,12.117470402646454,16.878386734996255,10.888752642863786,11.226161388175164
GYPC,3.5,23.959248773102388,11.57211214737773,14.432542838233985,7.3275988461958406,6.9987266392441612
GYPC,3.5,23.086403477938525,10.249787641875407,13.746769751744729,5.3753390160123686,4.9602713081049288
GYPC,3.5,24.05414700261084,11.280993303402347,14.624399672132235,8.276782590529848,8.3056751244639884
GYPC,3.5,23.784649177966259,10.750273431607965,14.678208918211105,8.1694710249901306,8.2683448973266778
GYPD,8.7,26.957959140139607,18.563751168095095,18.818606766367267,13.193287631157396,12.253156129172112
GYPD,8.7,27.104637893130903,20.741500943086713,20.850612441902463,16.304602272926218,14.564399835791477
GYPD,8.7,25.396785279426947,16.811898131125169,17.188080972476918,10.126690216119677,8.8120869608898644
GYPD,8.7,26.761424091409516,18.443195827240764,18.27700467685046,11.672671243698595,10.357273535550519
JA1,63.97,50.129140129109793,61.059126497640122,59.48643087920442,58.766131082226941,58.325689619938053
JA1,63.97,49.922823496708816,61.028635691800048,58.880473227028347,58.556588129875202,58.168391932108598
JA1,63.97,50.115253960380727,61.18430671808715,60.607618435041495,60.414952986837548,60.182095434380038
JA1,63.97,49.76808022537012,60.737121504322992,59.773899245702331,59.466873618491668,58.94840700256136
JA1,63.97,49.501252060077476,60.817729848610064,59.077575914638089,57.731580408375656,57.122721828198536
JA2,56.42,47.774870379194063,51.633514675910064,57.254269599003102,55.750691367250688,57.953076036196983
JA2,56.42,45.853674158246051,48.078061014095056,54.095487411470465,53.235960153778038,55.004208321576634
JA2,56.42,47.217074853586979,50.53585461172765,56.891674803276857,55.788862274574569,57.648565927483155
JA2,56.42,47.819064191128035,51.995992555124275,57.912820364878201,56.287120615732903,58.066516500088859
JA2,56.42,47.636323968135244,52.281715063581665,56.385608448653123,54.146575618187299,55.777246220150587
JA3,62.26,50.932363809170312,60.57782304475257,63.156957243531323,61.219539616377347,62.233445693396099
JA3,62.26,48.279783419663168,56.851401184770239,59.092382498098729,57.404527516646873,58.397437938563201
JA3,62.26,52.009621965104046,62.649327213969613,64.634445316657136,61.216001916530502,61.838991979894267
JA3,62.26,49.32245767134264,58.787848849075729,62.139343456543337,58.817705873534962,59.571586210957989
JA3,62.26,49.930486454223256,59.804974162658461,62.648709324967605,59.681313202429195,60.328088563187791
JB1B,51.11,42.501642422989462,45.22327207846854,48.721544140452721,48.474859569846799,51.095589158921229
JB1B,51.11,43.109719240903686,46.63030248788386,49.805677214416008,49.954411057275834,52.476425793180454
JB1B,51.11,42.847468542922435,45.744074559548359,48.405124250484718,48.570001064142346,51.361265019527352
JB1B,51.11,43.60460397741894,46.483483883784032,48.953010217800973,49.974125029725897,52.318579324660021
JB1B,51.11,43.107671005697142,47.030903297839785,49.293452221048469,49.061892761352013,51.567133367136933
JB2,53.2,44.661935256412221,49.478773080590827,47.994191350953592,50.334246551793846,50.836865718549944
JB2,53.2,43.828775061132802,48.367742146377147,47.392715704438253,49.848002702770771,50.284675139801259
JB2,53.2,44.511425594169751,48.881397372354542,46.917360662250765,49.0985791967625,49.416866636140114
JB2,53.2,45.036965134597921,49.811196695225028,47.76713132345192,49.914905243004618,50.261563843041671
JB2,53.2,45.021666180029762,49.078311906400636,47.197467881354719,48.887288295851576,49.311342539432246
JR1,75.41,64.123625684441166,75.181204583618069,86.588273381192948,89.179103180799871,86.669959275171109
JR1,75.41,64.869950135040568,77.502793884385454,88.257573317995352,88.996759316051055,86.405890049576087
JR1,75.41,65.233633671570459,77.719169178194818,87.840597375387432,88.076193711861592,85.33754934033314
JR1,75.41,64.899762183552681,77.245113179107349,86.83627993935194,86.920254216418613,84.152377328275861
JR1,75.41,64.331620693534688,76.815077709146664,86.389025415742424,85.895002645987688,83.122036683187986
MHC2319,68.84,62.218540539532441,59.529107055701417,54.308325705815214,57.732423794822999,51.748087163871354
MHC2319,68.84,64.698276921931878,63.879464726298643,63.106656838483886,68.769553738157327,63.368207437280034
