Sample,True_Comp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
GBW07104,60.62,59.043823065805014,62.478193748941024,60.816576498617671,60.413194329015269,59.840718571136854,59.749061947426931,60.350345672848995,60.407396562505262,60.199329039557085,59.966241259153207,59.611132527720898,59.844317417996407,59.298250248863916,58.784872356638409,58.806930585855859,58.897039145083603,58.968000316013615,58.52376699528309,59.121258213844264,58.272211970149264
GBW07104,60.62,61.285216327301406,64.706071738010621,63.405272904389193,62.456758255060294,61.388339993376093,61.458310346436917,62.73394323770394,64.056697927010831,65.009064797443685,64.84204460612176,64.636312329798017,63.085953969064533,62.407465930463516,62.167488720782394,61.791815839541279,61.654223652494345,62.469763341419849,61.831155159289224,62.63450905136208,61.244553670504828
GBW07104,60.62,60.337878602225743,63.662954615782347,61.127143757567964,59.663376178843556,59.458223816450577,59.585907709594672,60.708430751153855,61.673823956591029,61.53962940174717,61.099442522268319,60.885343910832063,60.391153354727813,59.436733095414453,58.829791965107162,58.561882425318345,58.146828015596569,58.507127682594827,57.80012736841163,58.249640603421888,57.071851473064967
GBW07104,60.62,59.552880084995643,63.064888105609619,61.870555969393067,61.620598401018924,60.067584458470698,59.756679211770034,59.932527942469804,59.076166136803273,58.871530739743996,58.629882846632619,58.624932434821609,59.574777865441106,59.480477784957145,59.087230855184558,59.120449402449466,59.133306179124354,59.020860715169093,58.7559581126566,59.144578761793412,58.687383433493956
GBW07104,60.62,60.084943760873358,63.809725540429916,62.774314616790605,62.52464634244587,61.156223278586019,60.741175569931286,60.978719953740942,60.37319955204611,60.160397121868293,59.870234665063904,59.905328680002825,61.253601687214889,61.163490496756182,60.738428729249748,60.801436723573481,60.854355712372303,60.818601917668104,60.585559875901275,60.861513796579544,60.417894297030273
GBW07110,63.06,63.532360816866614,65.505280824093475,63.85732999280841,64.84621071567534,64.85543794881066,63.254223201458373,64.185794200793893,64.869925437726224,64.459549838371188,64.687849096013181,64.940185544665169,65.800481393225198,65.177747832283998,64.7487806351579,64.859948251061965,64.846337096489606,64.464593687406747,64.130421953824666,63.937970145450969,64.21182357033733
GBW07110,63.06,62.890790211633913,64.578574645789814,61.77924344892282,63.074978547861377,63.697144562150285,62.393987853076638,63.291818942945582,63.065802172295001,62.882590343350614,63.267604597035117,63.712619427929653,64.768480317220863,64.393417279726364,63.989351599437626,63.988162723509838,64.040896785125767,63.442280908448474,63.113734997365782,62.607389990093779,62.699338161235779
GBW07110,63.06,63.651517518628673,65.939532248845651,64.36858894430847,65.807467207226154,65.65536953013887,63.96764041000803,64.804499156210937,65.352828047916901,65.051004155199976,65.468159527669243,66.064411234036797,67.313800124042587,66.818739914375897,66.543207327076999,66.715934951784192,66.769728797290725,66.423003513293111,65.929525011338995,65.462328532529227,65.702960463443461
GBW07110,63.06,63.349907455739981,65.310514646388867,62.809178781399034,63.594461006143632,63.387265791301381,61.578879555284914,62.341714864170704,62.92648397916971,62.934118410595708,63.240079764119066,63.557121316136644,64.53492510179511,64.0871191632489,63.754498429688383,63.842348704861749,63.917792486749498,63.700924069627014,63.323358450674945,63.177692495032012,63.806231773209838
GBW07110,63.06,63.137801442058489,65.178683240119582,61.607285329101515,62.987113469510362,63.496941696632057,61.928018047138202,62.792540610590379,62.924314070789663,63.342265430043994,63.753075864123062,64.298999851559174,65.165408492582401,64.816276950811414,64.515069645245106,64.292892352264133,64.468844610301872,64.077673437117937,63.675321640902531,63.754073377055647,64.243515305042607
